"IndicatorName","IndicatorCode"
"Final consumption expenditure, etc. (annual % growth)",NE.CON.TETC.KD.ZG
"Final consumption expenditure, etc. (constant 2005 US$)",NE.CON.TETC.KD
"Final consumption expenditure, etc. (constant LCU)",NE.CON.TETC.KN
"Final consumption expenditure, etc. (current LCU)",NE.CON.TETC.CN
"Final consumption expenditure, etc. (current US$)",NE.CON.TETC.CD
"Firms competing against unregistered firms (% of firms)",IC.FRM.CMPU.ZS
"Firms expected to give gifts in meetings with tax officials (% of firms)",IC.TAX.GIFT.ZS
"Firms formally registered when operations started (% of firms)",IC.FRM.FREG.ZS
"Firms offering formal training (% of firms)",IC.FRM.TRNG.ZS
"Firms that do not report all sales for tax purposes (% of firms)",IC.FRM.INFM.ZS
"Firms using banks to finance investment (% of firms)",IC.FRM.BNKS.ZS
"Firms with female participation in ownership (% of firms)",IC.FRM.FEMO.ZS
"Firms with female top manager (% of firms)",IC.FRM.FEMM.ZS
"Fish species, threatened",EN.FSH.THRD.NO
"Fixed broadband Internet subscribers",IT.NET.BBND
"Fixed broadband Internet subscribers (per 100 people)",IT.NET.BBND.P2
"Food exports (% of merchandise exports)",TX.VAL.FOOD.ZS.UN
"Food imports (% of merchandise imports)",TM.VAL.FOOD.ZS.UN
"Food production index (2004-2006 = 100)",AG.PRD.FOOD.XD
"Food, beverages and tobacco (% of value added in manufacturing)",NV.MNF.FBTO.ZS.UN
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD
"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.GD.ZS
"Forest area (% of land area)",AG.LND.FRST.ZS
"Forest area (sq. km)",AG.LND.FRST.K2
"Forest rents (% of GDP)",NY.GDP.FRST.RT.ZS
"Fossil fuel energy consumption (% of total)",EG.USE.COMM.FO.ZS
"Fuel exports (% of merchandise exports)",TX.VAL.FUEL.ZS.UN
"Fuel imports (% of merchandise imports)",TM.VAL.FUEL.ZS.UN
"GDP (constant 2005 US$)",NY.GDP.MKTP.KD
"GDP (constant LCU)",NY.GDP.MKTP.KN
"GDP (current LCU)",NY.GDP.MKTP.CN
"GDP (current US$)",NY.GDP.MKTP.CD
"GDP deflator (base year varies by country)",NY.GDP.DEFL.ZS
"GDP growth (annual %)",NY.GDP.MKTP.KD.ZG
"GDP per capita (constant 2005 US$)",NY.GDP.PCAP.KD
"GDP per capita (constant LCU)",NY.GDP.PCAP.KN
"GDP per capita (current LCU)",NY.GDP.PCAP.CN
"GDP per capita (current US$)",NY.GDP.PCAP.CD
"GDP per capita growth (annual %)",NY.GDP.PCAP.KD.ZG
"GDP per capita, PPP (constant 2005 international $)",NY.GDP.PCAP.PP.KD
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD
"GDP per person employed (constant 1990 PPP $)",SL.GDP.PCAP.EM.KD
"GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent)",EG.GDP.PUSE.KO.PP.KD
"GDP per unit of energy use (PPP $ per kg of oil equivalent)",EG.GDP.PUSE.KO.PP
"GDP, PPP (constant 2005 international $)",NY.GDP.MKTP.PP.KD
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD
"GEF benefits index for biodiversity (0 = no biodiversity potential to 100 = maximum)",ER.BDV.TOTL.XQ
"General government final consumption expenditure (% of GDP)",NE.CON.GOVT.ZS
"General government final consumption expenditure (annual % growth)",NE.CON.GOVT.KD.ZG
"General government final consumption expenditure (constant 2005 US$)",NE.CON.GOVT.KD
"General government final consumption expenditure (constant LCU)",NE.CON.GOVT.KN
"General government final consumption expenditure (current LCU)",NE.CON.GOVT.CN
"General government final consumption expenditure (current US$)",NE.CON.GOVT.CD
"GHG net emissions/removals by LUCF (Mt of CO2 equivalent)",EN.CLC.GHGR.MT.CE
"GINI index",SI.POV.GINI
"GNI (constant 2005 US$)",NY.GNP.MKTP.KD
"GNI (constant LCU)",NY.GNP.MKTP.KN
"GNI (current LCU)",NY.GNP.MKTP.CN
"GNI (current US$)",NY.GNP.MKTP.CD
"GNI growth (annual %)",NY.GNP.MKTP.KD.ZG
"GNI per capita (constant 2005 US$)",NY.GNP.PCAP.KD
"GNI per capita (constant LCU)",NY.GNP.PCAP.KN
"GNI per capita (current LCU)",NY.GNP.PCAP.CN
"GNI per capita growth (annual %)",NY.GNP.PCAP.KD.ZG
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD
"GNI per capita, PPP (constant 2005 international $)",NY.GNP.PCAP.PP.KD
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD
"GNI, PPP (constant 2005 international $)",NY.GNP.MKTP.PP.KD
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD
"Goods and services expense (% of expense)",GC.XPN.GSRV.ZS
"Goods and services expense (current LCU)",GC.XPN.GSRV.CN
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD
"Grants and other revenue (% of revenue)",GC.REV.GOTR.ZS
"Grants and other revenue (current LCU)",GC.REV.GOTR.CN
"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD
"Gross capital formation (% of GDP)",NE.GDI.TOTL.ZS
"Gross capital formation (annual % growth)",NE.GDI.TOTL.KD.ZG
"Gross capital formation (constant 2005 US$)",NE.GDI.TOTL.KD
"Gross capital formation (constant LCU)",NE.GDI.TOTL.KN
"Gross capital formation (current LCU)",NE.GDI.TOTL.CN
"Gross capital formation (current US$)",NE.GDI.TOTL.CD
"Gross domestic income (constant 2005 US$)",NY.GDY.TOTL.KD
"Gross domestic income (constant LCU)",NY.GDY.TOTL.KN
"Gross domestic savings (% of GDP)",NY.GDS.TOTL.ZS
"Gross domestic savings (constant LCU)",NY.GDS.TOTL.KN
"Gross domestic savings (current LCU)",NY.GDS.TOTL.CN
"Gross domestic savings (current US$)",NY.GDS.TOTL.CD
"Gross fixed capital formation (% of GDP)",NE.GDI.FTOT.ZS
"Gross fixed capital formation (annual % growth)",NE.GDI.FTOT.KD.ZG
"Gross fixed capital formation (constant 2005 US$)",NE.GDI.FTOT.KD
"Gross fixed capital formation (constant LCU)",NE.GDI.FTOT.KN
"Gross fixed capital formation (current LCU)",NE.GDI.FTOT.CN
"Gross fixed capital formation (current US$)",NE.GDI.FTOT.CD
"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS
"Gross fixed capital formation, private sector (current LCU)",NE.GDI.FPRV.CN
"Gross intake ratio in first grade of primary education, female (% of relevant age group)",SE.PRM.GINT.FE.ZS
"Gross intake ratio in first grade of primary education, male (% of relevant age group)",SE.PRM.GINT.MA.ZS
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",SE.PRM.GINT.ZS
"Gross national expenditure (% of GDP)",NE.DAB.TOTL.ZS
"Gross national expenditure (constant 2005 US$)",NE.DAB.TOTL.KD
"Gross national expenditure (constant LCU)",NE.DAB.TOTL.KN
"Gross national expenditure (current LCU)",NE.DAB.TOTL.CN
"Gross national expenditure (current US$)",NE.DAB.TOTL.CD
"Gross national expenditure deflator (base year varies by country)",NE.DAB.DEFL.ZS
"Gross national income (constant LCU)",NY.GNY.TOTL.KN
"Gross savings (% of GDP)",NY.GNS.ICTR.ZS
"Gross savings (% of GNI)",NY.GNS.ICTR.GN.ZS
"Gross savings (current LCU)",NY.GNS.ICTR.CN
"Gross savings (current US$)",NY.GNS.ICTR.CD
"Gross value added at factor cost (constant 2005 US$)",NY.GDP.FCST.KD
"Gross value added at factor cost (constant LCU)",NY.GDP.FCST.KN
"Gross value added at factor cost (current LCU)",NY.GDP.FCST.CN
"Gross value added at factor cost (current US$)",NY.GDP.FCST.CD
"Health expenditure per capita (current US$)",SH.XPD.PCAP
"Health expenditure per capita, PPP (constant 2005 international $)",SH.XPD.PCAP.PP.KD
"Health expenditure, private (% of GDP)",SH.XPD.PRIV.ZS
"Health expenditure, public (% of GDP)",SH.XPD.PUBL.ZS
"Health expenditure, public (% of government expenditure)",SH.XPD.PUBL.GX.ZS
"Health expenditure, public (% of total health expenditure)",SH.XPD.PUBL
"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS
"HFC gas emissions (thousand metric tons of CO2 equivalent)",EN.ATM.HFCG.KT.CE
"High-technology exports (% of manufactured exports)",TX.VAL.TECH.MF.ZS
"High-technology exports (current US$)",TX.VAL.TECH.CD
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS
"Household final consumption expenditure (annual % growth)",NE.CON.PRVT.KD.ZG
"Household final consumption expenditure (constant 2005 US$)",NE.CON.PRVT.KD
"Household final consumption expenditure (constant LCU)",NE.CON.PRVT.KN
"Household final consumption expenditure (current LCU)",NE.CON.PRVT.CN
"Household final consumption expenditure (current US$)",NE.CON.PRVT.CD
"Household final consumption expenditure per capita (constant 2005 US$)",NE.CON.PRVT.PC.KD
"Household final consumption expenditure per capita growth (annual %)",NE.CON.PRVT.PC.KD.ZG
"Household final consumption expenditure, etc. (% of GDP)",NE.CON.PETC.ZS
"Household final consumption expenditure, etc. (annual % growth)",NE.CON.PETC.KD.ZG
"Household final consumption expenditure, etc. (constant 2005 US$)",NE.CON.PETC.KD
"Household final consumption expenditure, etc. (constant LCU)",NE.CON.PETC.KN
"Household final consumption expenditure, etc. (current LCU)",NE.CON.PETC.CN
"Household final consumption expenditure, etc. (current US$)",NE.CON.PETC.CD
"Household final consumption expenditure, PPP (constant 2005 international $)",NE.CON.PRVT.PP.KD
"Household final consumption expenditure, PPP (current international $)",NE.CON.PRVT.PP.CD
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD
"ICT goods exports (% of total goods exports)",TX.VAL.ICTG.ZS.UN
"ICT goods imports (% total goods imports)",TM.VAL.ICTG.ZS.UN
"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS
"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD
"IDA grants (current US$)",DT.DIS.IDAG.CD
"IDA resource allocation index (1=low to 6=high)",IQ.CPA.IRAI.XQ
"IFC, private nonguaranteed (NFL, current US$)",DT.NFL.NIFC.CD
"IMF charges (INT, current US$)",DT.INT.DIMF.CD
"IMF purchases (DIS, current US$)",DT.DIS.DIMF.CD
"IMF repurchases (AMT, current US$)",DT.AMT.DIMF.CD
"IMF repurchases and charges (TDS, current US$)",DT.TDS.DIMF.CD
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS
"Import value index (2000 = 100)",TM.VAL.MRCH.XD.WD
"Import volume index (2000 = 100)",TM.QTY.MRCH.XD.WD
"Imports of goods and services (% of GDP)",NE.IMP.GNFS.ZS
"Imports of goods and services (annual % growth)",NE.IMP.GNFS.KD.ZG
"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD
"Imports of goods and services (constant 2005 US$)",NE.IMP.GNFS.KD
"Imports of goods and services (constant LCU)",NE.IMP.GNFS.KN
"Imports of goods and services (current LCU)",NE.IMP.GNFS.CN
"Imports of goods and services (current US$)",NE.IMP.GNFS.CD
"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD
"Improved sanitation facilities (% of population with access)",SH.STA.ACSN
"Improved sanitation facilities, rural (% of rural population with access)",SH.STA.ACSN.RU
"Improved sanitation facilities, urban (% of urban population with access)",SH.STA.ACSN.UR
"Improved water source (% of population with access)",SH.H2O.SAFE.ZS
"Improved water source, rural (% of rural population with access)",SH.H2O.SAFE.RU.ZS
"Improved water source, urban (% of urban population with access)",SH.H2O.SAFE.UR.ZS
"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD
"Income share held by fourth 20%",SI.DST.04TH.20
"Income share held by highest 10%",SI.DST.10TH.10
"Income share held by highest 20%",SI.DST.05TH.20
"Income share held by lowest 10%",SI.DST.FRST.10
"Income share held by lowest 20%",SI.DST.FRST.20
"Income share held by second 20%",SI.DST.02ND.20
"Income share held by third 20%",SI.DST.03RD.20
"Industrial nitrous oxide emissions (thousand metric tons of CO2 equivalent)",EN.ATM.NOXE.IN.KT.CE
"Industry, value added (% of GDP)",NV.IND.TOTL.ZS
"Industry, value added (annual % growth)",NV.IND.TOTL.KD.ZG
"Industry, value added (constant 2005 US$)",NV.IND.TOTL.KD
"Industry, value added (constant LCU)",NV.IND.TOTL.KN
"Industry, value added (current LCU)",NV.IND.TOTL.CN
"Industry, value added (current US$)",NV.IND.TOTL.CD
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG
"Informal payments to public officials (% of firms)",IC.FRM.CORR.ZS
"Insurance and financial services (% of commercial service exports)",TX.VAL.INSF.ZS.WT
"Insurance and financial services (% of commercial service imports)",TM.VAL.INSF.ZS.WT
"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS
"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5
"Interest arrears, official creditors (current US$)",DT.IXA.OFFT.CD
"Interest arrears, private creditors (current US$)",DT.IXA.PRVT.CD
"Interest arrears, public and publicly guaranteed (current US$)",DT.IXA.DPPG.CD
"Interest forgiven (current US$)",DT.IXF.DPPG.CD
"Interest payments (% of expense)",GC.XPN.INTP.ZS
"Interest payments (% of revenue)",GC.XPN.INTP.RV.ZS
"Interest payments (current LCU)",GC.XPN.INTP.CN
"Interest payments on external debt (% of exports of goods, services and primary income)",DT.INT.DECT.EX.ZS
"Interest payments on external debt (% of GNI)",DT.INT.DECT.GN.ZS
"Interest payments on external debt, long-term (INT, current US$)",DT.INT.DLXF.CD
"Interest payments on external debt, private nonguaranteed (PNG) (INT, current US$)",DT.INT.DPNG.CD
"Interest payments on external debt, public and publicly guaranteed (PPG) (INT, current US$)",DT.INT.DPPG.CD
"Interest payments on external debt, short-term (INT, current US$)",DT.INT.DSTC.CD
"Interest payments on external debt, total (INT, current US$)",DT.INT.DECT.CD
"Interest rate spread (lending rate minus deposit rate, %)",FR.INR.LNDP
"Interest rescheduled (capitalized) (current US$)",DT.IXR.DPPG.CD
"Interest rescheduled, official (current US$)",DT.IXR.OFFT.CD
"Interest rescheduled, private (current US$)",DT.IXR.PRVT.CD
"Internally displaced persons (number, high estimate)",VC.IDP.TOTL.HE
"Internally displaced persons (number, low estimate)",VC.IDP.TOTL.LE
"International migrant stock (% of population)",SM.POP.TOTL.ZS
"International migrant stock, total",SM.POP.TOTL
"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS
"International tourism, expenditures (current US$)",ST.INT.XPND.CD
"International tourism, expenditures for passenger transport items (current US$)",ST.INT.TRNX.CD
"International tourism, expenditures for travel items (current US$)",ST.INT.TVLX.CD
"International tourism, number of arrivals",ST.INT.ARVL
"International tourism, number of departures",ST.INT.DPRT
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS
"International tourism, receipts (current US$)",ST.INT.RCPT.CD
"International tourism, receipts for passenger transport items (current US$)",ST.INT.TRNR.CD
"International tourism, receipts for travel items (current US$)",ST.INT.TVLR.CD
"Internet users (per 100 people)",IT.NET.USER.P2
"Investment in energy with private participation (current US$)",IE.PPI.ENGY.CD
"Investment in telecoms with private participation (current US$)",IE.PPI.TELE.CD
"Investment in transport with private participation (current US$)",IE.PPI.TRAN.CD
"Investment in water and sanitation with private participation (current US$)",IE.PPI.WATR.CD
"ISO certification ownership (% of firms)",IC.FRM.ISOC.ZS
"Labor force participation rate, female (% of female population ages 15-24)",SL.TLF.ACTI.1524.FE.ZS
"Labor force participation rate, female (% of female population ages 15-64)",SL.TLF.ACTI.FE.ZS
"Labor force participation rate, male (% of male population ages 15-24)",SL.TLF.ACTI.1524.MA.ZS
"Labor force participation rate, male (% of male population ages 15-64)",SL.TLF.ACTI.MA.ZS
"Labor force participation rate, total (% of total population ages 15-24)",SL.TLF.ACTI.1524.ZS
"Labor force participation rate, total (% of total population ages 15-64)",SL.TLF.ACTI.ZS
"Labor force with primary education (% of total)",SL.TLF.PRIM.ZS
"Labor force with primary education, female (% of female labor force)",SL.TLF.PRIM.FE.ZS
"Labor force with primary education, male (% of male labor force)",SL.TLF.PRIM.MA.ZS
"Labor force with secondary education (% of total)",SL.TLF.SECO.ZS
"Labor force with secondary education, female (% of female labor force)",SL.TLF.SECO.FE.ZS
"Labor force with secondary education, male (% of male labor force)",SL.TLF.SECO.MA.ZS
"Labor force with tertiary education (% of total)",SL.TLF.TERT.ZS
"Labor force with tertiary education, female (% of female labor force)",SL.TLF.TERT.FE.ZS
"Labor force with tertiary education, male (% of male labor force)",SL.TLF.TERT.MA.ZS
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS
"Labor force, total",SL.TLF.TOTL.IN
"Labor participation rate, female (% of female population ages 15+)",SL.TLF.CACT.FE.ZS
"Labor participation rate, male (% of male population ages 15+)",SL.TLF.CACT.MA.ZS
"Labor participation rate, total (% of total population ages 15+)",SL.TLF.CACT.ZS
"Labor tax and contributions (% of commercial profits)",IC.TAX.LABR.CP.ZS
"Land area (sq. km)",AG.LND.TOTL.K2
"Land area where elevation is below 5 meters (% of total land area)",AG.LND.EL5M.ZS
"Land under cereal production (hectares)",AG.LND.CREL.HA
"Lead time to export, median case (days)",LP.EXP.DURS.MD
"Lead time to import, median case (days)",LP.IMP.DURS.MD
"Lending interest rate (%)",FR.INR.LEND
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN
"Lifetime risk of maternal death (%)",SH.MMR.RISK.ZS
"Lifetime risk of maternal death (1 in: rate varies by country)",SH.MMR.RISK
"Liner shipping connectivity index (maximum value in 2004 = 100)",IS.SHP.GCNW.XQ
"Liquid liabilities (M3) as % of GDP",FS.LBL.LIQU.GD.ZS
"Listed domestic companies, total",CM.MKT.LDOM.NO
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS
"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS
"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS
"Literacy rate, youth male (% of males ages 15-24)",SE.ADT.1524.LT.MA.ZS
"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS
"Livestock production index (2004-2006 = 100)",AG.PRD.LVSK.XD
"Logistics performance index: Ability to track and trace consignments (1=low to 5=high)",LP.LPI.TRAC.XQ
"Logistics performance index: Competence and quality of logistics services (1=low to 5=high)",LP.LPI.LOGS.XQ
"Logistics performance index: Ease of arranging competitively priced shipments (1=low to 5=high)",LP.LPI.ITRN.XQ
"Logistics performance index: Efficiency of customs clearance process (1=low to 5=high)",LP.LPI.CUST.XQ
"Logistics performance index: Frequency with which shipments reach consignee within scheduled or expected time (1=low to 5=high)",LP.LPI.TIME.XQ
"Logistics performance index: Overall (1=low to 5=high)",LP.LPI.OVRL.XQ
"Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high)",LP.LPI.INFR.XQ
"Long-term unemployment (% of total unemployment)",SL.UEM.LTRM.ZS
"Long-term unemployment, female (% of female unemployment)",SL.UEM.LTRM.FE.ZS
"Long-term unemployment, male (% of male unemployment)",SL.UEM.LTRM.MA.ZS
"Losses due to theft, robbery, vandalism, and arson (% sales)",IC.FRM.CRIM.ZS
"Low-birthweight babies (% of births)",SH.STA.BRTW.ZS
"Machinery and transport equipment (% of value added in manufacturing)",NV.MNF.MTRN.ZS.UN
"Malnutrition prevalence, height for age (% of children under 5)",SH.STA.STNT.ZS
"Malnutrition prevalence, height for age, female (% of children under 5)",SH.STA.STNT.FE.ZS
"Malnutrition prevalence, height for age, male (% of children under 5)",SH.STA.STNT.MA.ZS
"Malnutrition prevalence, weight for age (% of children under 5)",SH.STA.MALN.ZS
"Malnutrition prevalence, weight for age, female (% of children under 5)",SH.STA.MALN.FE.ZS
"Malnutrition prevalence, weight for age, male (% of children under 5)",SH.STA.MALN.MA.ZS
"Mammal species, threatened",EN.MAM.THRD.NO
"Management time dealing with officials (% of management time)",IC.GOV.DURS.ZS
"Manufactures exports (% of merchandise exports)",TX.VAL.MANF.ZS.UN
"Manufactures imports (% of merchandise imports)",TM.VAL.MANF.ZS.UN
"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS
"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG
"Manufacturing, value added (constant 2005 US$)",NV.IND.MANF.KD
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN
"Manufacturing, value added (current LCU)",NV.IND.MANF.CN
"Manufacturing, value added (current US$)",NV.IND.MANF.CD
"Marine protected areas (% of territorial waters)",ER.MRN.PTMR.ZS
"Market capitalization of listed companies (% of GDP)",CM.MKT.LCAP.GD.ZS
"Market capitalization of listed companies (current US$)",CM.MKT.LCAP.CD
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT
"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE
"Merchandise exports (current US$)",TX.VAL.MRCH.CD.WT
"Merchandise exports by the reporting economy (current US$)",TX.VAL.MRCH.WL.CD
"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",TX.VAL.MRCH.RS.ZS
"Merchandise exports to developing economies in East Asia & Pacific (% of total merchandise exports)",TX.VAL.MRCH.R1.ZS
"Merchandise exports to developing economies in Europe & Central Asia (% of total merchandise exports)",TX.VAL.MRCH.R2.ZS
"Merchandise exports to developing economies in Latin America & the Caribbean (% of total merchandise exports)",TX.VAL.MRCH.R3.ZS
"Merchandise exports to developing economies in Middle East & North Africa (% of total merchandise exports)",TX.VAL.MRCH.R4.ZS
"Merchandise exports to developing economies in South Asia (% of total merchandise exports)",TX.VAL.MRCH.R5.ZS
"Merchandise exports to developing economies in Sub-Saharan Africa (% of total merchandise exports)",TX.VAL.MRCH.R6.ZS
"Merchandise exports to developing economies outside region (% of total merchandise exports)",TX.VAL.MRCH.OR.ZS
"Merchandise exports to developing economies within region (% of total merchandise exports)",TX.VAL.MRCH.WR.ZS
"Merchandise exports to economies in the Arab World (% of total merchandise exports)",TX.VAL.MRCH.AL.ZS
"Merchandise exports to high-income economies (% of total merchandise exports)",TX.VAL.MRCH.HI.ZS
"Merchandise imports (current US$)",TM.VAL.MRCH.CD.WT
"Merchandise imports by the reporting economy (current US$)",TM.VAL.MRCH.WL.CD
"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",TM.VAL.MRCH.RS.ZS
"Merchandise imports from developing economies in East Asia & Pacific (% of total merchandise imports)",TM.VAL.MRCH.R1.ZS
"Merchandise imports from developing economies in Europe & Central Asia (% of total merchandise imports)",TM.VAL.MRCH.R2.ZS
"Merchandise imports from developing economies in Latin America & the Caribbean (% of total merchandise imports)",TM.VAL.MRCH.R3.ZS
"Merchandise imports from developing economies in Middle East & North Africa (% of total merchandise imports)",TM.VAL.MRCH.R4.ZS
"Merchandise imports from developing economies in South Asia (% of total merchandise imports)",TM.VAL.MRCH.R5.ZS
"Merchandise imports from developing economies in Sub-Saharan Africa (% of total merchandise imports)",TM.VAL.MRCH.R6.ZS
"Merchandise imports from developing economies outside region (% of total merchandise imports)",TM.VAL.MRCH.OR.ZS
"Merchandise imports from developing economies within region (% of total merchandise imports)",TM.VAL.MRCH.WR.ZS
"Merchandise imports from economies in the Arab World (% of total merchandise imports)",TM.VAL.MRCH.AL.ZS
"Merchandise imports from high-income economies (% of total merchandise imports)",TM.VAL.MRCH.HI.ZS
"Merchandise trade (% of GDP)",TG.VAL.TOTL.GD.ZS
"Methane emissions (kt of CO2 equivalent)",EN.ATM.METH.KT.CE
"Methane emissions in energy sector (thousand metric tons of CO2 equivalent)",EN.ATM.METH.EG.KT.CE
"Military expenditure (% of central government expenditure)",MS.MIL.XPND.ZS
"Military expenditure (% of GDP)",MS.MIL.XPND.GD.ZS
"Military expenditure (current LCU)",MS.MIL.XPND.CN
"Mineral rents (% of GDP)",NY.GDP.MINR.RT.ZS
"Mobile cellular subscriptions",IT.CEL.SETS
"Mobile cellular subscriptions (per 100 people)",IT.CEL.SETS.P2
"Money (current LCU)",FM.LBL.MONY.CN
"Money and quasi money (M2) (current LCU)",FM.LBL.MQMY.CN
"Money and quasi money (M2) as % of GDP",FM.LBL.MQMY.GD.ZS
"Money and quasi money (M2) to total reserves ratio",FM.LBL.MQMY.IR.ZS
"Money and quasi money growth (annual %)",FM.LBL.MQMY.ZG
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE
"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA
"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN
"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN
"Mortality rate, infant, male (per 1,000 live births)",SP.DYN.IMRT.MA.IN
"Mortality rate, neonatal (per 1,000 live births)",SH.DYN.NMRT
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT
"Mortality rate, under-5, female (per 1,000)",SH.DYN.MORT.FE
"Mortality rate, under-5, male (per 1,000)",SH.DYN.MORT.MA
"Motor vehicles (per 1,000 people)",IS.VEH.NVEH.P3
"Multilateral debt (% of total external debt)",DT.DOD.MLAT.ZS
"Multilateral debt service (% of public and publicly guaranteed debt service)",DT.TDS.MLAT.PG.ZS
"Multilateral debt service (TDS, current US$)",DT.TDS.MLAT.CD
"Natural gas rents (% of GDP)",NY.GDP.NGAS.RT.ZS
"Net barter terms of trade index (2000 = 100)",TT.PRI.MRCH.XD.WD
"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD
"Net bilateral aid flows from DAC donors, Austria (current US$)",DC.DAC.AUTL.CD
"Net bilateral aid flows from DAC donors, Belgium (current US$)",DC.DAC.BELL.CD
"Net bilateral aid flows from DAC donors, Canada (current US$)",DC.DAC.CANL.CD
"Net bilateral aid flows from DAC donors, Czech Republic (current US$)",DC.DAC.CZEL.CD
"Net bilateral aid flows from DAC donors, Denmark (current US$)",DC.DAC.DNKL.CD
"Net bilateral aid flows from DAC donors, European Union institutions (current US$)",DC.DAC.CECL.CD
"Net bilateral aid flows from DAC donors, Finland (current US$)",DC.DAC.FINL.CD
"Net bilateral aid flows from DAC donors, France (current US$)",DC.DAC.FRAL.CD
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD
"Net bilateral aid flows from DAC donors, Greece (current US$)",DC.DAC.GRCL.CD
"Net bilateral aid flows from DAC donors, Iceland (current US$)",DC.DAC.ISLL.CD
"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD
"Net bilateral aid flows from DAC donors, Japan (current US$)",DC.DAC.JPNL.CD
"Net bilateral aid flows from DAC donors, Korea, Rep. (current US$)",DC.DAC.KORL.CD
"Net bilateral aid flows from DAC donors, Luxembourg (current US$)",DC.DAC.LUXL.CD
"Net bilateral aid flows from DAC donors, Netherlands (current US$)",DC.DAC.NLDL.CD
"Net bilateral aid flows from DAC donors, New Zealand (current US$)",DC.DAC.NZLL.CD
"Net bilateral aid flows from DAC donors, Norway (current US$)",DC.DAC.NORL.CD
"Net bilateral aid flows from DAC donors, Portugal (current US$)",DC.DAC.PRTL.CD
